timestamp,cpu,ram,disk
2026-01-01 10:26:33,17.2,84.8,1.2
2026-01-01 10:26:39,11.5,84.3,1.2
2026-01-01 10:26:45,3.5,84.9,1.2
2026-01-01 10:26:51,22.6,85.6,1.2
2026-01-01 10:26:57,25.8,84.7,1.2
2026-01-01 10:27:03,4.3,84.8,1.2
2026-01-01 10:27:09,1.2,85.5,1.2
2026-01-01 10:27:15,22.0,85.9,1.2
